City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,igurubi,-4.0,33.7,70.74,80,90,1.72,TZ,1735248049
83,cururupu,-1.8283,-44.8683,80.55,71,25,4.65,BR,1735248050
84,howrah,22.5892,88.3103,64.4,77,0,8.05,IN,1735248051
85,weno,7.4515,151.8468,80.55,83,100,8.05,FM,1735248052
86,utrik,11.2278,169.8474,81.48,74,72,16.53,MH,1735248054
87,katsuren-haebaru,26.3369,127.8719,66.22,69,100,9.22,JP,1735248055
88,okha,53.5739,142.9478,18.81,90,100,17.85,RU,1735248056
89,hilo,19.7297,-155.09,78.53,74,100,9.22,US,1735248057
90,san luis,-33.295,-66.3356,87.08,18,0,12.44,AR,1735247771
91,tazovsky,67.4667,78.7,12.96,95,100,15.32,RU,1735248059
92,lebu,-37.6167,-73.65,61.95,73,10,13.87,CL,1735248061
93,haiku-pauwela,20.9219,-156.3051,81.21,68,40,18.99,US,1735248062
94,portland,45.5234,-122.6762,54.52,85,75,11.99,US,1735247960
95,borzya,50.3833,116.5167,-19.07,100,57,2.59,RU,1735248065
96,undurkhaan,47.3194,110.6556,2.44,75,2,7.36,MN,1735248066
97,aleg,17.0481,-13.9209,81.99,28,64,10.92,MR,1735248067
98,college,64.8569,-147.8028,3.47,67,100,0.0,US,1735248069
99,puerto ayacucho,5.6639,-67.6236,88.0,65,100,4.61,VE,1735248070
100,aswan,24.0934,32.907,60.78,32,1,6.91,EG,1735248071
101,puerto el triunfo,13.2833,-88.55,82.9,68,74,7.09,SV,1735247772
102,olonkinbyen,70.9221,-8.7187,23.77,58,100,28.3,SJ,1735248073
103,wamba,8.9333,8.6,74.97,20,7,4.83,NG,1735248074
104,uturoa,-16.7333,-151.4333,82.04,65,100,12.62,PF,1735248075
105,campbell river,50.0163,-125.2446,43.59,93,75,2.3,CA,1735248077
106,zimovniki,47.1483,42.4633,32.43,88,82,10.96,RU,1735248078
107,agaro,7.85,36.65,65.41,69,84,2.89,ET,1735248079
108,kamphaeng phet,16.25,99.5,71.55,62,7,1.23,TH,1735247859
109,totness,5.8833,-56.3167,79.65,72,88,10.25,SR,1735248082
110,wailua homesteads,22.0669,-159.378,80.13,65,20,5.75,US,1735248083
111,zdvinsk,54.7021,78.661,10.09,88,100,9.82,RU,1735248084
112,newman,37.3138,-121.0208,55.06,61,95,4.07,US,1735248087
113,prymors'k,46.7348,36.3443,37.02,80,99,18.5,UA,1735248088
114,suluru,13.7,80.0167,74.16,93,11,5.59,IN,1735248090
115,ambovombe,-25.1667,46.0833,75.43,86,32,18.95,MG,1735248091
116,palmer,42.1584,-72.3287,33.53,60,0,0.0,US,1735248092
117,kolonia,50.9333,6.95,39.9,93,0,2.3,DE,1735248093
118,horta,38.5333,-28.6333,62.24,84,20,14.97,PT,1735248094
119,kampene,-3.6,26.6667,69.64,93,96,2.71,CD,1735248095
120,saynshand,44.8824,110.1163,3.16,66,0,10.2,MN,1735248096
121,port elizabeth,-33.918,25.5701,76.32,89,0,3.44,ZA,1735248045
122,avarua,-21.2078,-159.775,82.45,89,75,10.36,CK,1735248099
123,bani suwayf,29.0744,31.0979,51.21,34,3,7.96,EG,1735248100
124,port alfred,-33.5906,26.891,78.28,65,19,13.29,ZA,1735247889
125,pacific grove,36.6177,-121.9166,60.48,94,100,1.99,US,1735247942
126,egilsstadir,65.2653,-14.3948,39.11,65,0,17.27,IS,1735248104
127,aldan,58.6031,125.3894,-4.61,98,100,5.03,RU,1735247941
128,turpan,42.9333,89.1667,16.16,63,0,1.1,CN,1735248106
129,malaryta,51.7905,24.074,33.66,64,71,5.7,BY,1735248108
130,kiunga,-6.1219,141.2906,73.83,100,100,1.28,PG,1735248110
131,ghadamis,30.1337,9.5007,46.26,54,0,4.52,LY,1735248111
132,cidreira,-30.1811,-50.2056,77.22,55,0,4.5,BR,1735248112
133,bilibino,68.0546,166.4372,-31.81,100,100,2.95,RU,1735248113
134,bethel,41.3712,-73.414,34.93,56,0,1.01,US,1735248114
135,pingliang,35.5392,106.6861,18.5,57,45,12.82,CN,1735248115
136,georgetown,5.4112,100.3354,80.53,78,20,3.44,MY,1735247978
137,greenville,35.6127,-77.3663,49.95,64,0,5.75,US,1735248009
138,kingston,17.997,-76.7936,85.15,70,75,11.5,JM,1735247858
139,zin'kiv,50.2081,34.3638,30.02,95,36,3.2,UA,1735248120
140,chegdomyn,51.1167,133.0167,-26.36,100,100,1.16,RU,1735248122
141,bairnsdale,-37.8333,147.6167,65.05,60,58,1.01,AU,1735248123
142,iskateley,67.6803,53.1512,22.35,90,100,12.71,RU,1735248124
143,saint-francois,46.4154,3.9054,35.04,94,100,4.61,FR,1735248063
144,maragogi,-9.0122,-35.2225,78.48,67,68,8.19,BR,1735248127
145,kodiak,57.79,-152.4072,29.71,93,0,4.61,US,1735248128
146,yigo village,13.5361,144.8886,80.89,86,100,14.97,GU,1735248129
147,canyon,34.9803,-101.9188,56.46,48,0,5.01,US,1735248130
148,parintins,-2.6283,-56.7358,85.35,73,100,2.42,BR,1735248132
149,fale old settlement,-9.3852,-171.2468,82.51,75,92,11.95,TK,1735248133
150,durres,41.3231,19.4414,46.58,70,99,12.46,AL,1735248134
151,katsuura,35.1333,140.3,50.02,53,81,9.37,JP,1735248135
152,thompson,55.7435,-97.8558,21.36,100,100,5.75,CA,1735248136
153,isla mujeres,21.2311,-86.731,73.45,82,100,14.88,MX,1735248137
154,kashmar,35.2383,58.4656,40.84,45,0,3.96,IR,1735248138
155,strezhevoy,60.7333,77.5889,20.59,94,100,11.81,RU,1735248140
156,saiha,22.4833,92.9667,59.54,60,0,3.98,IN,1735248141
157,gisborne,-38.6533,178.0042,62.71,90,100,29.15,NZ,1735248142
158,port moresby,-9.4431,147.1797,78.22,94,40,3.44,PG,1735248143
